Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,DotBalls,BowledWickets,LbwWickets,HitWicketWickets,CaughtAndBowledWickets,StumpedWickets,raw_FIB,FIB
2021,Mohammed Siraj,6.788461538461538,353,52.0,312,11,6,9,0,156,2,1,0,0,0,7.009521153846155,6.4613725943303315
2015,P Negi,8.4,252,30.0,180,6,12,3,0,60,0,0,0,0,1,7.0123966666666675,8.255593825501435
2019,S Gopal,7.25,348,48.0,288,20,17,1,1,107,2,1,0,2,1,7.0207500000000005,7.552176937532392
2021,A Nortje,6.164835164835165,187,30.333333333333332,182,12,2,13,0,89,3,1,0,0,0,7.021410989010989,6.4759387729571465
2015,MC Henriques,6.32,158,25.0,150,11,2,7,0,67,0,1,0,0,0,7.021592,6.7926742877453945
2019,RD Chahar,6.553191489361702,308,47.0,282,13,16,5,0,130,3,1,0,0,1,7.0316255319148935,7.589757494023624
2015,DW Steyn,8.947368421052632,170,19.0,114,3,3,2,0,41,2,0,0,0,0,7.03872105263158,6.813144549887399
2017,Rashid Khan,6.62962962962963,358,54.0,324,17,13,6,0,133,7,5,0,0,0,7.048625925925926,6.750963878571807
2024,KH Pandya,7.7272727272727275,255,33.0,198,6,9,15,0,65,1,0,0,0,1,7.063315151515151,8.034632878443958
2016,RA Jadeja,7.767634854771785,312,40.166666666666664,241,8,14,6,1,85,2,1,0,0,1,7.07248755186722,8.123567815255154
2022,PWH de Silva,7.543859649122807,430,57.0,342,26,30,5,0,147,4,4,0,2,2,7.085712280701753,7.9079282178831685
2016,M Ashwin,8.456140350877194,241,28.5,171,7,12,7,0,63,1,1,0,0,1,7.090054385964913,8.532385831575649
2017,AR Patel,7.541666666666667,362,48.0,288,15,17,6,0,92,5,0,0,2,1,7.1067875,8.016664227682462
2016,AB Dinda,7.60655737704918,232,30.5,183,11,3,9,1,94,2,1,0,0,0,7.1197786885245895,7.218326416047091
2026,Noor Ahmad,8.411764705882353,429,51.0,306,13,22,11,1,101,1,0,0,0,2,7.135731372549019,8.418159350616003
2020,Washington Sundar,5.98,299,50.0,300,8,8,2,1,116,2,0,0,0,0,7.14113,6.838147642439097
2022,YS Chahal,7.75,527,68.0,408,27,27,21,0,158,5,4,0,0,2,7.159707352941176,7.7311447679686065
2017,Imran Tahir,7.872340425531915,370,47.0,282,18,20,5,1,98,8,2,0,2,1,7.160725531914896,8.124056647605387
2017,B Kumar,7.070063694267516,370,52.333333333333336,314,26,9,11,1,140,6,2,0,1,0,7.161095541401274,6.922681256205262
2020,LH Ferguson,7.426229508196721,151,20.333333333333332,122,8,3,5,1,54,4,0,0,0,0,7.171696721311475,6.876340816507666
2025,JD Unadkat,7.342657342657343,175,23.833333333333332,143,11,4,3,0,57,1,0,0,2,0,7.177600699300699,6.886598041399633
2026,KH Pandya,8.415841584158416,425,50.5,303,14,24,10,0,98,1,1,0,0,2,7.187755445544553,8.500172580504277
2016,AR Patel,8.11149825783972,388,47.833333333333336,287,13,17,7,0,105,6,0,1,0,1,7.18809930313589,8.090387040596365
2020,TA Boult,8.137931034482758,472,58.0,348,25,11,6,0,163,1,3,0,0,0,7.204844827586207,6.917759435799327
2017,CH Morris,7.741935483870968,240,31.0,186,12,7,3,0,75,5,0,0,1,0,7.2275193548387096,7.0240964073790515
2017,AJ Tye,6.714285714285714,141,21.0,126,12,4,2,0,51,2,0,0,0,0,7.231557142857143,7.030261257921437
2021,Ravi Bishnoi,6.388888888888889,230,36.0,216,12,7,5,0,91,5,0,0,0,0,7.232325,6.7343284912646215
2017,JJ Bumrah,7.50828729281768,453,60.333333333333336,362,20,9,12,9,140,7,4,0,1,0,7.252622651933701,7.062423846562396
2016,Mustafizur Rahman,6.901639344262295,421,61.0,366,17,10,10,0,153,3,1,0,0,0,7.257031147540984,7.360506042391064
2020,JJ Bumrah,6.790322580645161,421,62.0,372,29,13,12,1,189,8,3,0,0,0,7.281543548387098,7.013594627429295
2016,J Yadav,7.352941176470588,125,17.0,102,2,3,2,0,40,1,0,0,0,0,7.28674705882353,7.391288712464162
2016,CH Morris,7.0227272727272725,309,44.0,264,13,7,14,1,121,7,1,0,0,0,7.298438636363636,7.403400000946252
2021,CV Varun,6.632352941176471,451,68.0,408,18,14,8,3,157,4,4,0,0,0,7.316810294117647,6.83783100987786
2015,Sandeep Sharma,7.02,351,50.0,300,13,10,11,1,158,3,4,0,0,0,7.319692000000001,7.148921960969391
2022,MJ Santner,6.842105263157895,130,19.0,114,4,4,0,0,43,0,0,0,1,0,7.321305263157895,6.526763962563626
2016,TG Southee,7.651162790697675,329,43.0,258,9,7,10,0,113,2,1,0,1,0,7.330455813953488,7.4365665495016415
2016,B Kumar,7.4393939393939394,491,66.0,396,23,8,24,1,186,6,1,0,1,0,7.332821212121212,7.43901686208658
2019,JJ Bumrah,6.754010695187166,421,62.333333333333336,374,20,11,9,4,175,3,3,0,0,0,7.3331743315508024,6.920591914417567
2015,JP Duminy,7.411764705882353,126,17.0,102,8,4,5,0,39,3,1,0,1,0,7.335229411764707,7.167490115243458
2025,JJ Bumrah,6.676056338028169,316,47.333333333333336,284,18,12,5,0,133,8,1,0,0,0,7.3355345070422535,7.085612855672066
2016,MP Stoinis,8.434782608695652,194,23.0,138,8,4,3,0,46,1,0,0,0,0,7.3359565217391305,7.442264724843597
2018,S Kaul,8.303030303030303,548,66.0,396,21,14,6,1,137,4,2,0,0,0,7.340831818181819,7.203385288580411
2018,BA Stokes,8.216216216216216,304,37.0,222,8,4,10,1,87,1,0,0,0,0,7.354497297297297,7.218500024989596
2019,DL Chahar,7.51937984496124,485,64.5,387,22,12,13,3,201,2,5,0,0,0,7.362084496124031,6.960423651772713
2021,R Ashwin,7.432835820895523,332,44.666666666666664,268,7,15,10,1,104,0,1,0,1,1,7.371228358208956,7.919315883506764
2015,Z Khan,6.455172413793103,156,24.166666666666668,145,7,2,11,0,86,0,1,0,0,0,7.381061379310345,7.222262110538364
2022,JJ Bumrah,7.199999999999999,384,53.333333333333336,320,15,11,7,1,145,4,1,0,1,0,7.387633125,6.61297244611292
2022,SP Narine,5.571428571428571,312,56.0,336,9,12,7,0,148,2,2,0,1,0,7.390778571428571,6.617060685340927
2020,M Ashwin,7.4603174603174605,235,31.5,189,10,9,2,0,72,5,1,0,0,0,7.4146841269841275,7.179954023392297
2019,I Sharma,7.586956521739131,349,46.0,276,13,7,12,0,131,3,0,0,0,0,7.416726086956523,7.035707536414537
2015,RS Bopara,8.0,160,20.0,120,6,3,7,0,43,2,0,0,1,0,7.4248,7.274532428722586
2016,DS Kulkarni,7.428571428571429,364,49.0,294,18,11,3,0,134,3,0,0,0,0,7.4447918367346935,7.5550070722666725
2024,Rashid Khan,8.404580152671755,367,43.666666666666664,262,10,20,0,0,84,2,1,0,0,1,7.4530374045801535,8.177915699887185
2019,MM Ali,6.76,169,25.0,150,6,8,1,0,64,1,3,0,0,0,7.463952000000001,7.100774276520426
2022,KH Pandya,6.973684210526316,265,38.0,228,10,8,4,0,76,0,1,0,0,0,7.486663157894737,6.741685007087902
2015,D Wiese,8.338582677165354,353,42.333333333333336,254,16,8,9,0,85,1,1,0,1,0,7.496629133858268,7.360372622639737
2017,A Nehra,9.307086614173228,197,21.166666666666668,127,8,4,5,0,53,2,0,0,0,0,7.506318897637796,7.449764497134004
2023,I Sharma,8.28,207,25.0,150,10,3,9,1,75,2,0,0,0,0,7.5067319999999995,7.639305407528278
2015,A Nehra,7.258064516129032,450,62.0,372,22,13,13,1,187,3,3,0,0,0,7.515622580645163,7.383070949457365
2017,Z Khan,7.792531120331951,313,40.166666666666664,241,10,8,5,0,84,1,0,0,0,0,7.516134024896266,7.464750125979979
2023,TA Boult,8.210526315789474,312,38.0,228,13,8,12,0,114,3,2,0,2,0,7.516568421052632,7.64851895987638
2017,MG Johnson,7.05,141,20.0,120,7,3,6,0,63,1,0,0,0,0,7.52043,7.471309173737669
2021,LH Ferguson,7.533333333333333,226,30.0,180,13,6,6,2,81,3,1,0,0,0,7.523946666666666,7.091592761898032
2020,Sandeep Sharma,7.1923076923076925,374,52.0,312,14,13,5,0,124,4,1,0,0,0,7.5353980769230775,7.33078632416615
2023,Harpreet Brar,8.024539877300613,218,27.166666666666668,163,9,7,3,0,61,2,1,0,0,0,7.536969938650308,7.667628598367974
2021,Shivam Mavi,7.33678756476684,236,32.166666666666664,193,11,4,11,3,100,4,0,0,0,0,7.537210880829016,7.107842685480198
2016,Z Khan,7.7175572519083975,337,43.666666666666664,262,10,7,13,0,121,1,1,0,0,0,7.539645801526718,7.653266158974645
2021,Harpreet Brar,6.043478260869565,139,23.0,138,5,5,5,0,59,3,0,0,0,0,7.542486956521739,7.114306379881623
2022,Mustafizur Rahman,7.625,244,32.0,192,8,6,7,0,83,2,0,0,0,0,7.542996874999999,6.814903775030407
2015,SL Malinga,7.466666666666667,448,60.0,360,24,9,19,4,164,6,1,0,0,0,7.544055,7.4170494239266365
2024,Kuldeep Yadav,8.674418604651162,373,43.0,258,16,26,9,1,92,1,2,0,0,2,7.546272093023255,9.37381546598416
2022,Ravi Bishnoi,8.5,459,54.0,324,13,17,16,3,128,4,1,0,0,1,7.547624074074075,7.711475410673938
2015,DS Kulkarni,7.942857142857143,278,35.0,210,13,4,16,1,110,1,1,0,2,0,7.55441142857143,7.42942598743379
2017,Harbhajan Singh,6.487804878048781,266,41.0,246,8,10,1,0,99,1,0,0,0,0,7.575312195121951,7.555102708420596
2019,M Ashwin,7.529411764705882,256,34.0,204,5,6,8,1,66,0,1,0,1,0,7.5788882352941185,7.259130688682253
2015,AD Mathews,8.2,246,30.0,180,7,6,5,0,69,1,0,0,0,0,7.584036666666667,7.464829953016262
2021,KK Ahmed,8.148148148148149,220,27.0,162,5,4,6,1,61,0,0,0,0,0,7.585592592592593,7.167114882785646
2016,MM Sharma,8.391752577319588,407,48.5,291,13,9,13,0,113,3,0,0,1,0,7.602904123711341,7.7187953646137375
2020,JO Holder,8.321428571428571,233,28.0,168,14,5,8,0,66,2,0,0,0,0,7.602914285714286,7.415147950280249
2017,SN Thakur,8.253275109170307,315,38.166666666666664,229,11,5,14,0,99,1,0,0,0,0,7.603953275109171,7.5988315957935
2016,SP Narine,7.125,304,42.666666666666664,256,11,11,10,0,119,3,3,0,1,0,7.609305468750001,7.725426508800282
2017,PJ Cummins,8.101083032490974,374,46.166666666666664,277,15,9,12,1,110,5,0,0,0,0,7.61546534296029,7.616408094958876
2023,M Theekshana,8.0,392,49.0,294,11,13,5,0,91,4,1,0,0,0,7.6182530612244905,7.743764654444389
2015,IC Pandey,7.193548387096774,223,31.0,186,11,8,3,0,98,3,0,0,0,0,7.620277419354839,7.508139861842318
2017,S Badree,7.52,188,25.0,150,9,8,2,0,65,2,2,0,0,0,7.624363999999999,7.629994467108013
2022,HH Pandya,7.311475409836065,223,30.5,183,8,6,6,1,82,1,0,0,2,0,7.628136065573771,6.925561955561714
2022,M Theekshana,7.457142857142857,261,35.0,210,12,11,2,0,70,3,2,0,0,0,7.634722857142858,6.934123023216481
2019,K Rabada,7.8125,375,48.0,288,26,10,12,0,125,4,0,0,1,0,7.644010416666667,7.3488544817743024
2021,Mohammed Shami,7.537974683544304,397,52.666666666666664,316,19,14,7,2,151,5,2,0,1,0,7.65220253164557,7.248718391759137
2017,HH Pandya,8.192307692307692,213,26.0,156,6,6,6,0,57,3,0,0,0,0,7.683969230769231,7.720999080911221
2023,M Markande,7.894736842105263,300,38.0,228,12,12,3,0,78,3,2,0,1,0,7.687236842105264,7.808380196308056
2024,SP Narine,6.6909090909090905,368,55.0,330,17,17,5,0,131,4,3,0,1,0,7.690885454545454,7.424037367216406
2020,Shivam Mavi,8.153846153846153,212,26.0,156,9,5,6,0,69,0,0,0,1,0,7.697065384615385,7.532789920200224
2017,DT Christian,7.45,298,40.0,240,11,9,9,0,88,0,2,0,0,0,7.7022025,7.748837436761907
2017,SR Watson,9.130434782608695,245,26.833333333333332,161,5,7,4,0,52,3,0,0,0,0,7.703252795031056,7.750441015717095
2022,Mohsin Khan,5.96969696969697,197,33.0,198,14,5,12,0,115,1,0,0,0,0,7.705542424242425,7.026169522465994
2024,Sandeep Sharma,8.18421052631579,311,38.0,228,13,9,8,0,83,2,1,0,0,0,7.716768421052631,7.456052530001327
2015,HV Patel,7.482889733840304,328,43.833333333333336,263,17,11,9,0,120,2,2,0,0,0,7.717992775665399,7.624915669705086
2016,P Kumar,7.786407766990291,401,51.5,309,9,9,18,0,149,3,0,0,0,0,7.7413194174757285,7.862179569813013
2025,KH Pandya,8.23913043478261,379,46.0,276,17,19,9,0,91,2,0,0,0,1,7.752176086956522,8.624200339496822
