Year,Bowler,Economy,TotalRuns,Overs,TotalBalls,TotalWickets,Sixes,Wides,NoBalls,FI Wickets,DotBalls
2009,M Muralitharan,5.22,261,50.0,300,14,6,4,0,7,154
2009,JP Duminy,5.314285714285714,93,17.5,105,4,3,7,0,0,49
2020,Rashid Khan,5.335051546391752,345,64.66666666666667,388,20,10,7,0,10,174
2012,L Balaji,5.4,162,30.0,180,11,3,11,0,3,99
2011,R Sharma,5.46,273,50.0,300,16,6,2,0,7,134
2013,SP Narine,5.46875,350,64.0,384,22,8,3,0,8,186
2012,SP Narine,5.476056338028169,324,59.166666666666664,355,24,10,6,0,8,171
2009,A Singh,5.485714285714286,96,17.5,105,9,2,2,1,3,61
2022,SP Narine,5.571428571428571,312,56.0,336,9,12,7,0,5,148
2013,DW Steyn,5.796610169491526,399,68.83333333333333,413,19,7,22,0,9,231
2009,B Lee,5.8,116,20.0,120,5,1,13,5,1,82
2009,Harbhajan Singh,5.818181818181818,256,44.0,264,12,6,4,0,4,116
2011,AG Murtaza,5.85,117,20.0,120,3,3,2,0,0,60
2009,A Kumble,5.864788732394366,347,59.166666666666664,355,21,8,7,0,5,147
2018,IS Sodhi,5.869565217391305,135,23.0,138,5,2,0,0,1,51
2015,R Ashwin,5.871794871794871,229,39.0,234,10,10,9,1,1,121
2013,S Nadeem,5.886363636363637,259,44.0,264,9,6,4,0,5,103
2009,M Kartik,5.911764705882353,201,34.0,204,4,4,12,0,0,88
2009,SK Raina,5.927710843373494,164,27.666666666666668,166,7,4,1,0,2,63
2022,Mohsin Khan,5.96969696969697,197,33.0,198,14,5,12,0,1,115
2020,Washington Sundar,5.98,299,50.0,300,8,8,2,1,2,116
2011,SL Malinga,6.0,378,63.0,378,28,6,22,3,18,212
2018,L Ngidi,6.0,156,26.0,156,11,6,7,0,3,86
2011,DL Vettori,6.019354838709678,311,51.666666666666664,310,12,7,2,0,3,125
2021,Harpreet Brar,6.043478260869565,139,23.0,138,5,5,5,0,3,59
2011,Iqbal Abdulla,6.1,305,50.0,300,16,6,5,0,5,143
2011,YK Pathan,6.102564102564102,238,39.0,234,13,4,9,0,5,106
2010,R Ashwin,6.104166666666667,293,48.0,288,13,8,9,0,4,141
2017,P Negi,6.124352331606218,197,32.166666666666664,193,16,10,7,0,4,92
2012,DW Steyn,6.128571428571429,286,46.666666666666664,280,18,2,10,1,10,151
2014,AR Patel,6.136363636363637,405,66.0,396,17,9,11,0,8,176
2011,R Ashwin,6.158730158730159,388,63.0,378,20,11,12,0,7,171
2021,A Nortje,6.164835164835165,187,30.333333333333332,182,12,2,13,0,4,89
2017,Washington Sundar,6.166666666666667,185,30.0,180,8,6,2,0,3,87
2012,WD Parnell,6.238095238095238,131,21.0,126,5,1,4,3,0,56
2013,A Chandila,6.24,156,25.0,150,6,4,0,0,3,65
2009,RR Powar,6.285714285714286,132,21.0,126,5,3,7,0,2,58
2010,WPUJC Vaas,6.318181818181818,139,22.0,132,9,6,1,0,3,69
2011,SK Warne,6.319148936170213,297,47.0,282,13,8,7,0,2,122
2015,MC Henriques,6.32,158,25.0,150,11,2,7,0,1,67
2012,SL Malinga,6.324324324324325,351,55.5,333,22,5,19,1,11,165
2019,RA Jadeja,6.351851851851852,343,54.0,324,15,10,2,0,4,130
2019,Rashid Khan,6.380165289256198,386,60.5,363,17,15,6,0,8,170
2009,SL Malinga,6.383838383838384,316,49.5,297,18,7,31,4,11,179
2013,A Mishra,6.387096774193548,396,62.0,372,21,16,4,2,8,154
2021,Ravi Bishnoi,6.388888888888889,230,36.0,216,12,7,5,0,5,91
2021,MM Ali,6.394736842105264,162,25.333333333333332,152,6,8,2,1,3,52
2008,SC Ganguly,6.4,128,20.0,120,6,5,1,0,3,51
2021,NM Coulter-Nile,6.4,128,20.0,120,7,2,1,1,5,54
2020,AR Patel,6.411764705882353,327,51.0,306,9,7,2,0,1,102
2013,MM Sharma,6.434210526315789,326,50.666666666666664,304,20,7,7,0,6,169
2015,Z Khan,6.455172413793103,156,24.166666666666668,145,7,2,11,0,1,86
2014,SP Narine,6.461538461538462,420,65.0,390,21,13,2,2,12,168
2009,RA Jadeja,6.4714285714285715,151,23.333333333333332,140,6,1,5,0,3,51
2014,Harbhajan Singh,6.472727272727273,356,55.0,330,14,12,6,0,5,150
2021,SP Narine,6.482142857142857,363,56.0,336,16,15,8,2,8,137
2014,SL Malinga,6.485106382978723,254,39.166666666666664,235,16,6,9,1,6,112
2008,Sohail Tanvir,6.48582995951417,267,41.166666666666664,247,22,7,20,1,11,148
2017,Harbhajan Singh,6.487804878048781,266,41.0,246,8,10,1,0,1,99
2012,Shakib Al Hasan,6.5,195,30.0,180,12,6,5,0,2,77
2012,M Muralitharan,6.5,260,40.0,240,15,9,5,0,3,90
2009,PP Ojha,6.5046728971962615,348,53.5,321,18,7,6,0,2,117
2010,A Kumble,6.505263157894737,412,63.333333333333336,380,17,13,14,5,6,166
2010,M Kartik,6.512820512820513,254,39.0,234,9,3,4,1,5,88
2013,B Kumar,6.526315789473684,372,57.0,342,13,5,27,1,4,192
2013,SMSM Senanayake,6.53125,209,32.0,192,9,5,3,0,7,78
2014,Z Khan,6.537313432835822,146,22.333333333333332,134,5,4,4,0,1,66
2013,J Botha,6.539999999999999,109,16.666666666666668,100,5,3,2,0,3,41
2013,Harbhajan Singh,6.542857142857143,458,70.0,420,24,15,14,2,8,175
2008,SM Pollock,6.543478260869565,301,46.0,276,11,9,4,0,1,136
2012,Iqbal Abdulla,6.545454545454546,144,22.0,132,4,4,4,0,1,51
2019,RD Chahar,6.553191489361702,308,47.0,282,13,16,5,0,4,130
2024,JJ Bumrah,6.559485530546623,340,51.833333333333336,311,20,10,21,4,7,163
2010,AB Dinda,6.561151079136691,152,23.166666666666668,139,9,0,5,0,3,72
2012,R Ashwin,6.5620253164556965,432,65.83333333333333,395,14,13,11,1,3,154
2011,R Bhatia,6.5625,210,32.0,192,8,4,6,0,2,61
2020,JC Archer,6.574850299401198,366,55.666666666666664,334,20,18,10,2,8,185
2017,GJ Maxwell,6.578947368421052,125,19.0,114,7,3,1,0,4,40
2010,DP Nannes,6.58252427184466,226,34.333333333333336,206,7,3,15,2,3,108
2011,MM Patel,6.588957055214724,358,54.333333333333336,326,22,5,3,0,2,158
2022,Rashid Khan,6.595300261096606,421,63.833333333333336,383,19,16,7,0,7,130
2026,SP Narine,6.601941747572815,340,51.5,309,17,18,0,0,5,139
2013,KV Sharma,6.602870813397129,230,34.833333333333336,209,11,11,2,0,3,92
2008,IK Pathan,6.60377358490566,350,53.0,318,15,13,19,0,11,176
2010,Yuvraj Singh,6.608695652173913,152,23.0,138,5,6,1,0,1,49
2013,P Kumar,6.621301775147929,373,56.333333333333336,338,12,12,18,0,5,184
2013,JA Morkel,6.625,159,24.0,144,7,4,6,0,2,71
2011,S Sreesanth,6.628272251308901,211,31.833333333333332,191,7,6,16,5,3,113
2022,MM Ali,6.62937062937063,158,23.833333333333332,143,8,9,3,0,4,59
2017,Rashid Khan,6.62962962962963,358,54.0,324,17,13,6,0,12,133
2008,GD McGrath,6.62962962962963,358,54.0,324,12,10,5,1,2,166
2020,CH Morris,6.631578947368421,210,31.666666666666668,190,11,6,14,0,2,105
2021,CV Varun,6.632352941176471,451,68.0,408,18,14,8,3,8,157
2021,AR Patel,6.638297872340425,312,47.0,282,15,13,3,0,5,105
2011,J Botha,6.638888888888889,239,36.0,216,7,6,3,0,5,86
2009,FH Edwards,6.642857142857143,155,23.333333333333332,140,5,2,10,1,2,84
2019,Mohammad Nabi,6.651428571428571,194,29.166666666666668,175,8,9,0,0,1,69
2011,Yuvraj Singh,6.655172413793103,193,29.0,174,9,7,1,1,2,63
2014,B Kumar,6.6583072100313485,354,53.166666666666664,319,20,8,8,0,9,167
2011,DW Steyn,6.65934065934066,303,45.5,273,14,3,13,4,4,150
